time,value
08:45,0.270061728
09:00,0.192901235
09:15,0
09:30,0.154320988
09:45,0.038580247
10:00,0.038580247
10:15,0.192901235
10:30,0.347222222
10:45,0.154320988
11:00,0.424382716
11:15,0.154320988
11:30,0.115740741
11:45,0.771604938
12:00,0.887345679
12:15,0.347222222
12:30,0.424382716
12:45,0.848765432
13:00,0.540123457
13:15,0.810185185
13:30,0.694444444
13:45,0.231481481
14:00,0.231481481
14:15,0.540123457
14:30,0.192901235
14:45,0.462962963
15:00,0.617283951
15:15,0.308641975
15:30,0.038580247
15:45,0.077160494
16:00,0.038580247
16:15,0.424382716
16:30,0.617283951
16:45,0.231481481
17:00,0
17:15,0.424382716
17:30,0.50154321
17:45,0.655864198
18:00,0.733024691
18:15,0.192901235
18:30,0.462962963
18:45,0.308641975
19:00,0.462962963
19:15,0.617283951
19:30,0.385802469
19:45,0
