time,value
8:45,0.243902439
9:00,0.203252033
9:15,0.040650407
9:30,0.040650407
9:45,0.040650407
10:00,0.040650407
10:15,0
10:30,0.243902439
10:45,0
11:00,0.162601626
11:15,0
11:30, 0.081300813
11:45, 0.081300813
12:00, 0.447154472
12:15, 0.12195122
12:30, 0
12:45, 0.12195122
13:00, 0.447154472
13:15, 0.12195122
13:30, 0.528455285
13:45, 0.162601626
14:00, 0.284552846
14:15, 0.081300813
14:30, 0.12195122
14:45, 0.162601626
15:00, 0.325203252
15:15, 0.203252033
15:30, 0.040650407
15:45, 0.203252033
16:00, 0.040650407
16:15, 0.040650407
16:30, 0.203252033
16:45, 0.040650407
17:00, 0
17:15, 0.162601626
17:30, 0.243902439
17:45, 0.243902439
18:00, 0.162601626
18:15, 0.284552846
18:30, 0.406504065
18:45, 0.162601626
19:00, 0.203252033
19:15, 0.12195122
19:30, 0
19:45, 0
