time,value
8:45, 0.55187638
9:00, 0.441501104
9:15, 0.220750552
9:30, 0.183958793
9:45, 0.073583517
10:00, 0.110375276
10:15, 0.110375276
10:30, 0.110375276
10:45, 0.515084621
11:00, 0.331125828
11:15, 0.331125828
11:30, 0.110375276
11:45, 0.147167035
12:00, 0.55187638
12:15, 0.55187638
12:30, 0.294334069
12:45, 0.956585725
13:00, 0.919793966
13:15, 0.735835173
13:30, 0.625459897
13:45, 0.367917586
14:00, 0.073583517
14:15, 0.294334069
14:30, 0.55187638
14:45, 0.331125828
15:00, 0.183958793
15:15, 0.515084621
15:30, 0.55187638
15:45, 0.294334069
16:00, 0.220750552
16:15, 0.625459897
16:30, 0.515084621
16:45, 0.110375276
17:00, 0.662251656
17:15, 0.441501104
17:30, 0.294334069
17:45, 0.662251656
18:00, 0.404709345
18:15, 0.294334069
18:30, 0.331125828
18:45, 0.55187638
19:00, 0.183958793
19:15, 0.036791759
19:30, 0.110375276
19:45, 0.294334069
