time,value
8:45, 0
9:00, 0
9:15, 0
9:30, 0
9:45, 0.081300813
10:00, 0.203252033
10:15, 0
10:30, 0
10:45, 0.040650407
11:00, 0.162601626
11:15, 0
11:30, 0.040650407
11:45, 0.162601626
12:00, 0
12:15, 0.406504065
12:30, 0.691056911
12:45, 0.284552846
13:00, 0.284552846
13:15, 0.650406504
13:30, 0.609756098
13:45, 0.365853659
14:00, 0.487804878
14:15, 0.203252033
14:30, 0.040650407
14:45, 0.243902439
15:00, 0.162601626
15:15, 0.162601626
15:30, 0.569105691
15:45, 0.162601626
16:00, 0
16:15, 0.243902439
16:30, 0.12195122
16:45, 0.162601626
17:00, 0.162601626
17:15, 0.203252033
17:30, 0.162601626
17:45, 0.162601626
18:00, 0.081300813
18:15, 0.325203252
18:30, 0.284552846
18:45, 0.365853659
19:00, 0
19:15, 0.325203252
19:30, 0.284552846
19:45, 0
