time,value
08:45, 0.703235
09:00, 1.172058
09:15, 0.468823
09:30, 0.140647
09:45, 0.281294
10:00, 0.234412
10:15, 0.984529
10:30, 1.500234
10:45, 0.328176
11:00, 0.046882
11:15, 0.093765
11:30, 0.046882
11:45, 0.093765
12:00, 0.328176
12:15, 0.656353
12:30, 0.046882
12:45, 0.140647
13:00, 0.562588
13:15, 0.234412
13:30, 0.093765
13:45, 0.281294
14:00, 0
14:15, 0.140647
14:30, 0.093765
14:45, 0.281294
15:00, 0.468823
15:15, 0.046882
15:30, 0
15:45, 0
16:00, 0
16:15, 0.234412
16:30, 0.562588
16:45, 0.187529
17:00, 0.140647
17:15, 0.046882
17:30, 0.046882
17:45, 0.187529
18:00, 0.562588
18:15, 0.140647
18:30, 0.375059
18:45, 0.140647
19:00, 0.046882
19:15, 0.140647
19:30, 0.046882
19:45, 0
